adj,noun,article
hot,marshmallow,a
orange,kitten,a
dead,bug,a
flat,surface,a
brown,spot,a
purple,nose,a
wet,car,a
dead,wife,a
sweet,home,a
wet,book,a
dirty,town,a
grey,snow,NA
yellow,leaf,a
chalky,hand,a
wet,kiss,a
hot,meatball,a
brown,hall,a
yellow,fish,a
wet,rake,a
hot,celery,a
rose,bush,a
giant,town,a
colored,box,a
red,grocery,a
fat,foot,a
plastic,table,a
brown,floor,a
purple,block,a
thick,cheese,NA
dirty,swing,a
hot,ground,NA
green,blanket,a
outside,baby,a
dirty,sand,NA
green,horse,a
red,couch,a
green,truck,a
silver,ring,a
yellow,dinosaur,a
red,hamster,a
dead,flower,a
wet,ride,a
brown,mountain,a
muddy,grass,NA
orange,shovel,a
yellow,mountain,a
fat,pig,a
pink,mouth,a
green,crayon,a
hot,strawberry,a
flat,board,a
brown,hair,a
brown,hip,a
purple,letter,a
pink,board,a
grassy,field,a
yellow,arm,an
yellow,block,a
flat,ear,an
hot,rice,NA
dirty,hair,a
green,noodle,a
orange,dot,a
yellow,wheel,a
wooden,popsicle,a
military,person,a
pink,cast,a
flat,table,a
pink,frog,a
yellow,box,a
hot,body,a
slippery,table,a
giant,caterpillar,a
slippery,grass,NA
wooden,fireman,a
yellow,bed,a
brown,beach,a
wet,slide,a
green,bead,a
green,cake,a
dark,smoke,NA
pink,chocolate,NA
purple,ark,an
red,ant,an
red,map,a
teal,wedding,a
yellow,chalk,NA
red,border,a
fuzzy,home,a
juicy,pineapple,a
orange,truck,a
red,knight,a
female,crab,a
furry,gorilla,a
yellow,gate,a
thick,head,a
pink,cheek,a
gold,guy,a
wet,duck,a
pink,flamingo,a
purple,button,a
brown,fur,NA
hot,pickle,a
hairy,spider,a
purple,spider,a
giant,boy,a
dirty,hamper,a
rubber,foot,a
grey,color,a
wet,glue,NA
red,robin,a
thick,chocolate,NA
yellow,sand,NA
thick,camel,a
green,page,a
pink,turtle,a
green,plant,a
wet,leaf,a
pink,piece,a
dark,pig,a
hot,ice,NA
slippery,shower,a
dark,hair,a
dead,fly,a
silver,penny,a
wet,top,a
icy,mountain,a
red,counter,a
red,parrot,a
red,guy,a
purple,square,a
red,whale,a
light,crayon,a
green,vegetable,a
furry,duck,a
orange,food,NA
spiky,tail,a
hot,lunch,a
green,pillow,a
yellow,chicken,a
pink,rabbit,a
limp,sand,NA
round,hat,a
hot,beer,a
slippery,hand,a
giant,mess,a
giant,food,NA
red,juice,NA
red,fence,a
dirty,finger,a
hairy,arm,an
green,cinnamon,NA
purple,juice,NA
furry,bear,a
purple,plant,a
red,duck,a
wet,curtain,a
wet,finger,a
dark,leg,a
sweet,marshmallow,a
round,bird,a
dirty,car,a
silver,bean,a
wet,pee,NA
dirty,suit,a
dead,wire,a
hot,water,NA
purple,horn,a
wet,bird,a
pink,head,a
red,girl,a
hot,person,a
pink,bubble,a
yellow,sky,a
red,machine,a
hot,tent,a
hot,coffee,NA
yellow,boot,a
brown,table,a
yellow,hose,a
brown,tail,a
moist,bedding,NA
bright,window,a
purple,girl,a
red,train,a
red,leave,a
giant,clay,NA
orange,ball,a
green,fire,a
orange,flower,a
stationary,bike,a
orange,banana,a
yellow,bowl,a
dirty,mouse,a
pink,square,a
yellow,moon,a
red,strawberry,a
round,beetle,a
green,boat,a
wet,diaper,a
yellow,nose,a
pink,scooter,a
plastic,bear,a
orange,bucket,a
red,track,a
bright,tomato,a
green,shirt,a
sweet,potato,a
yellow,mustache,a
grey,label,a
orange,bowl,a
giant,puzzle,a
dirty,mama,a
dirty,plate,a
wet,chimney,a
hot,guy,a
pink,cart,a
furry,arm,an
brown,mud,NA
upstairs,snack,a
yellow,dot,a
green,dish,a
purple,chalk,NA
slim,tunnel,a
sunny,walk,a
green,popsicle,a
silky,body,a
slippery,honey,NA
green,moon,a
round,egg,an
wet,barrette,a
red,lip,a
silky,blanket,a
soapy,floor,a
thick,branch,a
sandy,pocket,a
wooden,leg,a
purple,bear,a
purple,dinosaur,a
orange,bag,a
brown,closet,a
giant,movie,a
rubber,chicken,a
red,bite,a
grey,hair,a
olive,oil,NA
blind,mom,a
orange,pear,a
concrete,feather,a
purple,pillow,a
dirty,straw,a
hot,towel,a
cloudy,window,a
green,snake,a
red,frog,a
yellow,bee,a
orange,table,a
blond,hair,a
dead,worm,a
purple,finger,a
naked,doll,a
giant,potato,a
oval,egg,an
colored,pencil,a
green,earth,NA
red,lego,a
green,dot,a
red,butt,a
hot,bike,a
green,bean,a
orange,cereal,NA
green,button,a
red,handle,a
green,picture,a
plastic,lunch,a
rusty,garage,a
flat,pad,a
thick,mud,NA
giant,baby,a
green,card,a
red,tree,a
sandy,apricot,an
sandy,sheep,a
back,stair,a
green,park,a
dirty,blanket,a
yellow,knight,a
purple,shirt,a
plastic,bottle,a
round,moon,a
red,cookie,a
red,telephone,a
rubber,band,a
dirty,dish,a
wooden,animal,an
dirty,sleeve,a
green,grape,a
hot,cup,a
wooden,coat,a
orange,grape,a
purple,book,a
hot,shirt,a
slippery,bug,a
crispy,piece,a
red,yoyo,a
pink,door,a
red,bird,a
purple,cat,a
green,stool,a
thick,leave,a
hot,window,a
green,bus,a
yellow,shelf,a
dark,color,a
dirty,leave,a
dark,board,a
purple,house,a
purple,gas,NA
upstairs,coffee,NA
brown,chair,a
gold,coin,a
hot,chicken,NA
pink,car,a
brown,strawberry,a
brown,mustache,a
dirty,dump,a
fat,finger,a
dirty,hand,a
pink,window,a
dark,eye,an
hot,toast,NA
gold,sky,a
fruit,strawberry,a
pink,rose,a
orange,dish,a
purple,trunk,a
yellow,pen,a
red,roof,a
brown,dog,a
yellow,milk,NA
red,blanket,a
dirty,dirt,NA
green,boot,a
dark,sky,a
giant,eye,an
hot,glue,NA
red,worm,a
purple,necklace,a
orange,person,a
fat,roll,a
red,flour,NA
green,light,a
yellow,hippo,a
purple,worm,a
orange,shirt,a
silver,cone,a
brown,hill,a
red,string,a
bottom,drawer,a
yellow,house,a
pink,towel,a
giant,bubble,a
green,guy,a
curly,string,a
wooden,chair,a
purple,bath,a
pink,shirt,a
red,finger,a
green,camera,a
grey,shirt,a
red,apple,an
upstairs,bed,a
red,person,a
green,turtle,a
orange,lip,a
pink,dot,a
green,cookie,a
green,broccoli,NA
purple,spaghetti,NA
hot,pizza,a
thick,cub,a
yellow,barrel,a
dirty,girl,a
buttered,broccoli,NA
purple,lollipop,a
hot,frog,a
pink,cookie,a
bearded,son,a
salty,chip,a
red,grape,a
pink,sticker,a
orange,pepper,a
dead,plant,a
wet,head,a
bright,eye,an
fuzzy,slipper,a
yellow,cat,a
purple,ground,NA
red,pin,a
giant,lip,a
yellow,beetle,a
muddy,shoe,a
purple,suit,a
orange,wall,a
red,oval,an
thick,paper,a
yellow,door,a
orange,body,a
red,ear,an
orange,cookie,a
red,bush,a
orange,plant,a
plastic,sock,a
purple,boot,a
green,kitty,a
green,bath,a
red,sauce,NA
green,fall,a
orange,girl,a
brown,leave,a
purple,robe,a
purple,handle,a
red,candy,NA
giant,pillow,a
yellow,towel,a
gold,orange,an
fat,hen,a
pink,feather,a
yellow,shirt,a
red,fire,a
orange,screw,a
red,wrapper,a
brown,fish,a
thick,air,NA
yellow,tooth,a
hot,cream,NA
square,diamond,a
purple,dolphin,a
wooden,track,a
fat,body,a
hot,powder,a
red,bat,a
giant,leopard,a
round,corner,a
wooden,guy,a
dirty,mouth,a
pink,bowl,a
hot,table,a
dark,kitchen,a
wet,game,a
back,garden,a
dark,window,a
green,egg,an
wet,dress,a
dead,bird,a
giant,head,a
green,snow,NA
thick,paint,NA
buttered,pizza,a
pink,nail,a
dirty,costume,a
yellow,finger,a
orange,sunshine,NA
pink,bunny,a
yellow,dress,a
green,table,a
wet,house,a
curly,boy,a
salty,sweet,a
wet,bear,a
red,tongue,a
brown,hand,a
orange,slice,a
pink,book,a
dirty,milk,NA
slippery,shoe,a
wet,window,a
pink,color,a
square,game,a
curly,hair,a
dirty,bubble,a
furry,tummy,a
light,ball,a
wet,dirt,NA
rusty,bucket,a
brown,trunk,a
brown,sofa,a
pink,lemonade,NA
brown,tree,a
green,sunshine,NA
dark,wood,NA
green,deck,a
muddy,wheel,a
bright,mercury,NA
red,chair,a
red,brick,a
pink,phone,a
red,gate,a
red,bed,a
orange,car,a
gold,star,a
brown,ear,an
green,mud,NA
purple,sand,NA
hot,swing,a
hot,pear,a
red,coral,NA
hot,sky,a
yellow,van,a
yellow,crayon,a
dark,ball,a
wooden,stick,a
orange,frog,a
fuzzy,peach,a
oval,circle,a
wet,cup,a
fuzzy,flower,a
bearded,person,a
yellow,cross,a
purple,stair,a
green,wagon,a
pink,pony,a
red,bucket,a
hot,milk,NA
pajamas,jeans,NA
pink,octopus,an
green,mark,a
grey,paper,a
red,clown,a
hot,food,NA
red,railing,a
yellow,button,a
grey,tree,a
red,queen,a
hot,neck,a
hot,pepper,a
brown,suit,a
bright,stick,a
buttered,pan,a
purple,elephant,an
green,duck,a
green,scissor,a
pink,tea,NA
green,elephant,an
yellow,tree,a
velvety,horse,a
yellow,bead,a
purple,circle,a
fat,bread,NA
hot,butter,a
dead,car,a
